ypos 	 xpos 	 value 
420 	 76 	 0.83909 
421 	 76 	 0.83645 
422 	 76 	 0.83344 
423 	 76 	 0.83017 
424 	 76 	 0.82676 
425 	 76 	 0.82333 
426 	 76 	 0.81998 
427 	 76 	 0.81682 
428 	 76 	 0.81398 
429 	 76 	 0.81155 
430 	 76 	 0.80964 
431 	 76 	 0.80826 
432 	 76 	 0.80738 
433 	 76 	 0.80695 
434 	 76 	 0.80696 
435 	 76 	 0.80737 
436 	 76 	 0.80815 
437 	 76 	 0.80928 
438 	 76 	 0.81071 
439 	 76 	 0.81243 
440 	 76 	 0.81442 
441 	 76 	 0.81668 
442 	 76 	 0.8192 
443 	 76 	 0.82196 
444 	 76 	 0.82498 
445 	 76 	 0.82822 
446 	 76 	 0.8317 
447 	 76 	 0.8354 
448 	 76 	 0.83929 
449 	 76 	 0.84329 
450 	 76 	 0.84733 
451 	 76 	 0.85134 
452 	 76 	 0.85524 
453 	 76 	 0.85895 
454 	 76 	 0.86242 
455 	 76 	 0.86555 
456 	 76 	 0.86829 
457 	 76 	 0.87068 
458 	 76 	 0.87284 
459 	 76 	 0.87493 
460 	 76 	 0.87708 
461 	 76 	 0.87945 
462 	 76 	 0.88216 
463 	 76 	 0.88536 
464 	 76 	 0.88918 
465 	 76 	 0.89377 
466 	 76 	 0.89906 
467 	 76 	 0.90487 
468 	 76 	 0.91103 
469 	 76 	 0.91735 
470 	 76 	 0.92364 
471 	 76 	 0.92972 
472 	 76 	 0.93542 
473 	 76 	 0.94054 
474 	 76 	 0.94493 
475 	 76 	 0.94857 
476 	 76 	 0.95157 
477 	 76 	 0.954 
478 	 76 	 0.95596 
479 	 76 	 0.95755 
480 	 76 	 0.95885 
481 	 76 	 0.95996 
482 	 76 	 0.96096 
483 	 76 	 0.96194 
484 	 76 	 0.96297 
485 	 76 	 0.96409 
486 	 76 	 0.96536 
487 	 76 	 0.96682 
488 	 76 	 0.96853 
489 	 76 	 0.97053 
490 	 76 	 0.97287 
491 	 76 	 0.9756 
492 	 76 	 0.97876 
493 	 76 	 0.98225 
494 	 76 	 0.9859 
495 	 76 	 0.98952 
496 	 76 	 0.99295 
497 	 76 	 0.99601 
498 	 76 	 0.99853 
499 	 76 	 1.00033 
500 	 76 	 1.00125 
501 	 76 	 1.00112 
502 	 76 	 1.0 
503 	 76 	 0.99808 
504 	 76 	 0.99556 
505 	 76 	 0.99265 
506 	 76 	 0.98953 
507 	 76 	 0.98642 
508 	 76 	 0.98349 
509 	 76 	 0.98096 
510 	 76 	 0.979 
511 	 76 	 0.97764 
512 	 76 	 0.97671 
513 	 76 	 0.97607 
514 	 76 	 0.97553 
515 	 76 	 0.97496 
516 	 76 	 0.97418 
517 	 76 	 0.97303 
518 	 76 	 0.97138 
519 	 76 	 0.96904 
520 	 76 	 0.966 
521 	 76 	 0.96237 
522 	 76 	 0.95827 
523 	 76 	 0.95385 
524 	 76 	 0.94922 
525 	 76 	 0.94452 
526 	 76 	 0.93987 
527 	 76 	 0.9354 
528 	 76 	 0.93123 
529 	 76 	 0.92744 
530 	 76 	 0.92398 
531 	 76 	 0.92079 
532 	 76 	 0.91781 
533 	 76 	 0.91496 
534 	 76 	 0.9122 
535 	 76 	 0.90944 
536 	 76 	 0.90665 
537 	 76 	 0.90374 
538 	 76 	 0.90068 
539 	 76 	 0.8975 
540 	 76 	 0.89424 
541 	 76 	 0.89095 
542 	 76 	 0.8877 
543 	 76 	 0.88453 
544 	 76 	 0.88149 
545 	 76 	 0.87863 
546 	 76 	 0.87601 
547 	 76 	 0.87367 
548 	 76 	 0.8716 
549 	 76 	 0.86976 
550 	 76 	 0.8681 
551 	 76 	 0.86656 
552 	 76 	 0.86511 
553 	 76 	 0.8637 
554 	 76 	 0.86227 
555 	 76 	 0.86079 
556 	 76 	 0.8592 
557 	 76 	 0.85748 
558 	 76 	 0.85567 
559 	 76 	 0.85379 
560 	 76 	 0.85186 
561 	 76 	 0.84992 
562 	 76 	 0.84799 
563 	 76 	 0.84611 
564 	 76 	 0.84429 
565 	 76 	 0.84257 
566 	 76 	 0.84097 
567 	 76 	 0.83952 
568 	 76 	 0.83823 
569 	 76 	 0.83712 
570 	 76 	 0.83622 
571 	 76 	 0.83554 
572 	 76 	 0.8351 
